Data,Ostatnio,Otwarcie,Max.,Min.,Wol.,Zmiana%
01.03.2021,"1.949,57","1.925,94","1.950,47","1.917,58","29,77M","2,22%"
26.02.2021,"1.907,28","1.912,25","1.928,90","1.888,55","54,39M","-1,51%"
25.02.2021,"1.936,47","1.955,61","1.967,63","1.936,13","32,92M","-0,07%"
24.02.2021,"1.937,90","1.926,18","1.954,22","1.924,64","27,51M","0,80%"
23.02.2021,"1.922,59","1.969,01","1.976,38","1.895,02","31,47M","-1,99%"
22.02.2021,"1.961,62","1.978,70","1.978,70","1.958,36","23,61M","-1,19%"
19.02.2021,"1.985,31","1.985,99","1.998,69","1.971,80","28,90M","0,23%"
18.02.2021,"1.980,77","1.990,16","2.020,46","1.978,88","34,65M","-0,30%"
17.02.2021,"1.986,80","2.005,98","2.008,20","1.980,26","28,84M","-0,88%"
16.02.2021,"2.004,54","1.977,89","2.022,16","1.976,58","32,79M","1,50%"
15.02.2021,"1.974,82","1.946,97","1.980,77","1.946,97","16,08M","1,95%"
12.02.2021,"1.937,07","1.951,43","1.953,69","1.919,72","15,01M","-0,91%"
11.02.2021,"1.954,92","1.922,62","1.961,69","1.922,62","19,74M","1,95%"
10.02.2021,"1.917,54","1.947,63","1.954,36","1.910,15","18,76M","-1,24%"
09.02.2021,"1.941,60","1.954,67","1.958,14","1.935,49","19,00M","-0,54%"
08.02.2021,"1.952,10","1.970,16","1.975,67","1.948,48","21,30M","-0,29%"
05.02.2021,"1.957,73","1.937,72","1.971,28","1.934,96","19,16M","1,59%"
04.02.2021,"1.927,02","1.945,60","1.961,12","1.924,95","20,88M","-0,70%"
03.02.2021,"1.940,69","1.961,77","1.973,74","1.934,98","24,77M","-0,68%"
02.02.2021,"1.954,02","1.973,17","1.981,43","1.942,60","24,58M","-0,70%"
01.02.2021,"1.967,72","1.960,96","1.975,94","1.945,82","23,10M","1,01%"
29.01.2021,"1.948,01","1.965,76","1.985,52","1.938,85","37,30M","-2,00%"
28.01.2021,"1.987,83","1.913,71","1.992,75","1.885,24","37,51M","3,04%"
27.01.2021,"1.929,21","1.981,07","1.998,12","1.916,09","40,98M","-2,66%"
26.01.2021,"1.981,98","1.936,78","1.988,24","1.932,69","28,11M","1,86%"
25.01.2021,"1.945,78","1.961,37","1.966,76","1.927,45","22,89M","-0,35%"
22.01.2021,"1.952,67","1.945,01","1.965,14","1.934,61","21,14M","-0,04%"
21.01.2021,"1.953,49","1.997,58","2.007,64","1.948,97","25,60M","-1,64%"
20.01.2021,"1.986,09","1.983,49","1.998,43","1.960,82","26,55M","0,30%"
19.01.2021,"1.980,12","2.034,26","2.047,11","1.980,12","32,70M","-2,16%"
18.01.2021,"2.023,74","1.985,59","2.023,74","1.970,06","32,64M","1,92%"
15.01.2021,"1.985,68","2.026,35","2.031,08","1.969,41","31,25M","-2,27%"
14.01.2021,"2.031,71","2.023,83","2.037,57","2.019,66","25,10M","0,41%"
13.01.2021,"2.023,36","2.050,24","2.058,87","2.009,42","38,72M","-1,00%"
12.01.2021,"2.043,73","2.073,81","2.086,11","2.026,96","25,29M","-1,12%"
11.01.2021,"2.066,97","2.067,33","2.100,33","2.043,05","30,64M","-0,28%"
08.01.2021,"2.072,74","2.080,50","2.095,67","2.060,20","42,48M","-0,07%"
07.01.2021,"2.074,11","2.040,48","2.074,11","2.028,43","38,31M","3,23%"
05.01.2021,"2.009,12","2.004,64","2.031,72","1.994,13","29,86M","0,02%"
04.01.2021,"2.008,75","1.994,28","2.020,04","1.991,46","29,39M","1,25%"
30.12.2020,"1.983,98","2.019,48","2.019,48","1.982,15","24,18M","-1,59%"
29.12.2020,"2.016,01","2.015,02","2.033,03","2.002,58","19,09M","0,58%"
28.12.2020,"2.004,41","1.969,45","2.005,62","1.969,45","24,15M","2,48%"
23.12.2020,"1.955,84","1.934,03","1.958,16","1.927,07","18,89M","1,42%"
22.12.2020,"1.928,40","1.896,48","1.931,66","1.896,29","19,82M","2,10%"
